         8954 function calls (8718 primitive calls) in 3.403 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        3    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:358(__call__)
        8    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:787(value)
        1    0.000    0.000    0.000    0.000 enum.py:966(__or__)
        3    0.000    0.000    0.000    0.000 enum.py:972(__and__)
        1    0.000    0.000    0.005    0.005 fractions.py:1(<module>)
        7    0.000    0.000    0.000    0.000 fractions.py:276(_operator_fallbacks)
        1    0.000    0.000    0.000    0.000 fractions.py:38(Fraction)
        1    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 linecache.py:26(getline)
        1    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
        1    3.368    3.368    3.403    3.403 old_filter.py:5(filtering)
        3    0.000    0.000    0.002    0.001 re.py:249(compile)
        3    0.000    0.000    0.002    0.001 re.py:288(_compile)
       15    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       15    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       13    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        4    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        6    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        3    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        5    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
     26/3    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        3    0.000    0.000    0.002    0.001 sre_compile.py:759(compile)
       30    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       62    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      160    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       14    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       37    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
     28/8    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        3    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      581    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       59    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      524    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
        5    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       38    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       16    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        2    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
     13/3    0.000    0.000    0.002    0.001 sre_parse.py:435(_parse_sub)
     15/3    0.001    0.000    0.002    0.001 sre_parse.py:493(_parse)
        3    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        3    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        3    0.000    0.000    0.002    0.001 sre_parse.py:937(parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 tokenize.py:297(detect_encoding)
        1    0.000    0.000    0.000    0.000 tokenize.py:321(read_or_stop)
        1    0.000    0.000    0.000    0.000 tokenize.py:327(find_cookie)
        1    0.000    0.000    0.000    0.000 tokenize.py:390(open)
        1    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.001    0.001 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 warnings.py:403(__init__)
        1    0.000    0.000    0.001    0.001 warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.jpeg_decoder}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.jpeg_encoder}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_decoder}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
        5    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC8398A920}
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      8/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       18    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      118    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       19    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      118    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        8    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       24    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
       40    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       40    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       30    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     15/5    0.000    0.000    0.020    0.004 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     19/1    0.000    0.000    3.403    3.403 {built-in method builtins.exec}
      122    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      111    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      318    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
  692/661    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       54    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       18    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
       18    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       19    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       56    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       68    0.005    0.000    0.005    0.000 {built-in method nt.stat}
      2/1    0.001    0.000    0.010    0.010 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        4    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       19    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       40    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      524    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.007    0.004    0.007    0.004 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       26    0.001    0.000    0.001    0.000 {method 'encode' of 'ImagingEncoder' objects}
        1    0.002    0.002    0.002    0.002 {method 'encode_to_file' of 'ImagingEncoder' objects}
      553    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedRandom' objects}
